"","ESV_study_names[Summary_df$KO, ]","KO","PRES_ABS","number_genome_present","nb_genome_considered","sub","prod"
"1","glycerol dehydrogenase [EC:1.1.1.6] (gldA)","K00005","pres",1,1," Glycerol + NAD+  ;NA ; Propane-1,2-diol + NAD+ "," Glycerone + NADH + H+ ;NA ; Hydroxyacetone + NADH + H+"
"2","fructuronate reductase [EC:1.1.1.57] (uxuB)","K00040","pres",1,1," D-Mannonate + NAD+ "," D-Fructuronate + NADH + H+"
"3","NADH-quinone oxidoreductase subunit G [EC:1.6.5.3] (nuoG)","K00336","pres",1,1," Ubiquinol + Acceptor "," Ubiquinone + Reduced acceptor"
"4","fructokinase [EC:2.7.1.4] (E2.7.1.4, scrK)","K00847","pres",1,1," ATP + D-Fructose  ; ATP + D-Fructose  ; ATP + beta-D-Fructose "," ADP + D-Fructose 6-phosphate ; ADP + beta-D-Fructose 6-phosphate ; ADP + beta-D-Fructose 6-phosphate"
"5","2-dehydro-3-deoxygluconokinase [EC:2.7.1.45] (kdgK)","K00874","pres",1,1," ATP + 2-Dehydro-3-deoxy-D-gluconate "," ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate"
"6","urease subunit alpha [EC:3.5.1.5] (ureC)","K01428","pres",1,1," Urea + H2O "," CO2 + 2 Ammonia"
"7","urease subunit beta [EC:3.5.1.5] (ureB)","K01429","pres",1,1," Urea + H2O "," CO2 + 2 Ammonia"
"8","urease subunit gamma [EC:3.5.1.5] (ureA)","K01430","pres",1,1," Urea + H2O "," CO2 + 2 Ammonia"
"9","2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42] (eda)","K01625","pres",1,1," 4-Hydroxy-2-oxoglutarate  ; 2-Dehydro-3-deoxy-6-phospho-D-gluconate "," Pyruvate + Glyoxylate ; D-Glyceraldehyde 3-phosphate + Pyruvate"
"10","acetolactate synthase I/II/III large subunit [EC:2.2.1.6] (E2.2.1.6L, ilvB, ilvG, ilvI)","K01652","pres",1,1," 2-acetolactate pyruvate-lyase (carboxylating) ; Pyruvate + Thiamin diphosphate  ; (S)-2-acetolactate pyruvate-lyase (carboxylating) ; 2-Acetolactate + Thiamin diphosphate  ; (S)-2-Acetolactate + Thiamin diphosphate  ; 2-Oxobutanoate + 2-(alpha-Hydroxyethyl)thiamine diphosphate  ; Pyruvate + 2-Oxobutanoate ","NA ; 2-(alpha-Hydroxyethyl)thiamine diphosphate + CO2 ;NA ; 2-(alpha-Hydroxyethyl)thiamine diphosphate + Pyruvate ; 2-(alpha-Hydroxyethyl)thiamine diphosphate + Pyruvate ; (S)-2-Aceto-2-hydroxybutanoate + Thiamin diphosphate ; (S)-2-Aceto-2-hydroxybutanoate + CO2"
"11","mannonate dehydratase [EC:4.2.1.8] (uxuA)","K01686","pres",1,1," D-Mannonate "," 2-Dehydro-3-deoxy-D-gluconate + H2O"
"12","porphobilinogen synthase [EC:4.2.1.24] (hemB, ALAD)","K01698","pres",1,1," porphobilinogen-forming)","NA"
"13","glucuronate isomerase [EC:5.3.1.12] (uxaC)","K01812","pres",1,1," D-Glucuronate  ; D-Galacturonate "," D-Fructuronate ; D-Tagaturonate"
"14","glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8] (hemL)","K01845","pres",1,1," 5-Aminolevulinate "," (S)-4-Amino-5-oxopentanoate"
"15","uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4] (cysG)","K02302","pres",1,1," Siroheme + 2 H+  ; 2 S-Adenosyl-L-methionine + Uroporphyrinogen III  ; Precorrin 2 + NAD+ "," Fe2+ + Sirohydrochlorin ; 2 S-Adenosyl-L-homocysteine + Precorrin 2 ; Sirohydrochlorin + NADH + H+"
"16","precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:1.3.1.76 4.99.1.4] (MET8)","K02304","pres",1,1," Siroheme + 2 H+  ; Precorrin 2 + NAD+ "," Fe2+ + Sirohydrochlorin ; Sirohydrochlorin + NADH + H+"
"17","glutamyl-tRNA reductase [EC:1.2.1.70] (hemA)","K02492","pres",1,1," L-Glutamyl-tRNA(Glu) + NADPH + H+ "," (S)-4-Amino-5-oxopentanoate + tRNA(Glu) + NADP+"
"18","PTS system, galactitol-specific IIA component [EC:2.7.1.69] (PTS-Gat-EIIA, gatA)","K02773","pres",1,1," Galactitol + Protein N(pi)-phospho-L-histidine "," Galactitol 1-phosphate + Protein histidine"
"19","PTS system, galactitol-specific IIB component [EC:2.7.1.69] (PTS-Gat-EIIB, gatB)","K02774","pres",1,1," Galactitol + Protein N(pi)-phospho-L-histidine "," Galactitol 1-phosphate + Protein histidine"
"20","PTS system, galactitol-specific IIC component (PTS-Gat-EIIC, gatC)","K02775","pres",1,1," Galactitol + Protein N(pi)-phospho-L-histidine "," Galactitol 1-phosphate + Protein histidine"
