"","CLOS_Ana.vag.510.645058761","Ana.sen.JC8.2547132134"
"KO:K00005",0,1
"KO:K00012",1,1
"KO:K00014",1,2
"KO:K00016",2,2
"KO:K00030",1,0
"KO:K00033",1,0
"KO:K00040",0,1
"KO:K00058",2,1
"KO:K00059",1,1
"KO:K00067",1,1
"KO:K00074",2,3
"KO:K00075",1,1
"KO:K00087",1,0
"KO:K00088",1,1
"KO:K00100",2,1
"KO:K00104",1,1
"KO:K00123",1,0
"KO:K00128",1,1
"KO:K00132",1,0
"KO:K00134",1,1
"KO:K00147",1,1
"KO:K00248",1,1
"KO:K00259",1,1
"KO:K00260",1,1
"KO:K00266",1,1
"KO:K00286",1,1
"KO:K00287",1,1
"KO:K00334",1,1
"KO:K00335",1,1
"KO:K00336",0,1
"KO:K00525",1,1
"KO:K00526",1,1
"KO:K00527",1,1
"KO:K00558",2,1
"KO:K00560",1,1
"KO:K00602",1,1
"KO:K00609",1,1
"KO:K00610",1,1
"KO:K00611",1,1
"KO:K00615",2,1
"KO:K00616",1,3
"KO:K00625",1,1
"KO:K00626",1,1
"KO:K00640",2,1
"KO:K00655",1,1
"KO:K00656",1,0
"KO:K00657",2,0
"KO:K00688",1,1
"KO:K00700",2,3
"KO:K00703",1,1
"KO:K00705",1,2
"KO:K00756",1,1
"KO:K00759",2,2
"KO:K00760",1,1
"KO:K00761",1,1
"KO:K00762",1,1
"KO:K00763",1,1
"KO:K00764",1,1
"KO:K00788",1,1
"KO:K00789",1,1
"KO:K00790",1,1
"KO:K00791",1,1
"KO:K00793",1,1
"KO:K00794",1,1
"KO:K00800",1,2
"KO:K00820",1,1
"KO:K00832",1,1
"KO:K00845",1,1
"KO:K00847",0,1
"KO:K00850",2,2
"KO:K00854",1,0
"KO:K00857",1,1
"KO:K00858",1,1
"KO:K00859",1,1
"KO:K00864",1,1
"KO:K00865",1,1
"KO:K00868",1,1
"KO:K00873",1,1
"KO:K00874",0,1
"KO:K00876",2,2
"KO:K00878",1,1
"KO:K00899",1,0
"KO:K00901",1,1
"KO:K00917",1,0
"KO:K00919",1,1
"KO:K00925",1,1
"KO:K00926",1,1
"KO:K00927",1,1
"KO:K00931",1,1
"KO:K00939",1,1
"KO:K00941",1,1
"KO:K00942",1,1
"KO:K00943",1,1
"KO:K00945",1,1
"KO:K00948",1,1
