"","CLOS_Hae.par.332.651324039","CLOS_Hae.par.HK9.2534681801","CLOS_Hae.par.HK2.2534681804","CLOS_Hae.par.HK9.2600255006","CLOS_Hae.par.T31.650377947","Hae.pit.855.2512047060"
"KO:K00010",0,0,0,0,1,0
"KO:K00012",0,0,0,0,0,1
"KO:K00013",0,1,1,0,0,1
"KO:K00014",2,2,2,2,2,3
"KO:K00018",1,1,1,1,1,1
"KO:K00024",1,1,1,1,1,1
"KO:K00029",1,1,1,1,1,2
"KO:K00031",0,0,0,0,0,2
"KO:K00033",1,2,2,1,2,1
"KO:K00036",1,1,1,1,1,1
"KO:K00052",1,1,1,1,1,1
"KO:K00053",1,1,1,1,1,1
"KO:K00058",1,1,1,1,1,1
"KO:K00059",2,1,1,2,1,2
"KO:K00075",1,1,1,1,1,1
"KO:K00088",1,1,1,1,1,2
"KO:K00099",1,1,1,1,1,1
"KO:K00100",1,1,1,1,1,1
"KO:K00101",1,1,1,1,0,0
"KO:K00121",0,1,0,0,0,0
"KO:K00123",4,4,4,4,2,5
"KO:K00124",1,1,1,1,1,1
"KO:K00127",2,2,2,2,2,2
"KO:K00133",1,1,1,1,1,1
"KO:K00134",1,1,1,1,1,1
"KO:K00140",0,0,0,0,1,0
"KO:K00145",0,0,0,0,0,1
"KO:K00147",1,1,1,1,1,2
"KO:K00163",1,1,1,1,1,1
"KO:K00164",1,1,1,1,1,2
"KO:K00208",1,1,1,1,1,1
"KO:K00215",1,1,1,1,1,1
"KO:K00230",1,1,1,1,1,1
"KO:K00244",1,1,1,1,1,1
"KO:K00245",1,1,1,1,1,1
"KO:K00246",1,1,1,1,1,1
"KO:K00247",1,1,1,1,1,1
"KO:K00254",1,1,1,1,1,2
"KO:K00262",1,1,1,1,1,1
"KO:K00275",1,1,1,1,1,2
"KO:K00286",1,1,1,1,1,1
"KO:K00287",1,1,1,1,1,1
"KO:K00297",1,1,1,1,1,1
"KO:K00324",1,1,1,1,1,1
"KO:K00325",1,1,1,1,1,1
"KO:K00380",1,1,1,1,0,2
"KO:K00381",1,1,1,1,0,1
