"","CLOS_Bac.sp.AR0.2596583541","CLOS_Bac.sp.D20.647533114","CLOS_Bac.uni.2aA.2690316219","CLOS_Bac.uni.2aB.2671181049","CLOS_Bac.uni.dn2.2563367160","Bac.sp.4_6.649989914","Bac.uni.ii.2588254076","Bac.uni.iii.2588254080","Bac.uni.CL3.2537561752","Bac.uni.CL7.2534681854","Bac.uni.657.2693429911","Bac.uni.KL7.2675903308"
"KO:K00001",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00010",1,1,1,1,1,1,0,2,1,1,1,1
"KO:K00012",4,3,3,3,4,4,2,2,3,3,3,2
"KO:K00013",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00014",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00018",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00024",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00029",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00031",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00033",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00036",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00041",1,1,1,1,1,1,2,2,1,1,1,1
"KO:K00052",1,1,2,2,1,1,2,1,1,1,1,1
"KO:K00053",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K00058",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00059",2,2,3,3,2,1,2,3,3,4,1,2
"KO:K00067",2,3,2,2,2,2,2,2,3,2,2,3
"KO:K00075",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00077",2,1,1,1,1,1,1,1,1,1,2,1
"KO:K00088",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00097",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00099",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00100",3,2,2,2,2,2,2,2,2,2,2,2
"KO:K00133",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K00134",1,1,1,1,1,1,1,0,1,1,1,1
"KO:K00145",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00147",1,1,1,1,1,1,3,1,1,1,1,1
"KO:K00174",2,2,3,3,2,2,2,2,2,2,2,2
"KO:K00175",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00176",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00177",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00208",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00210",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00215",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00226",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00230",0,0,0,0,0,0,0,0,0,0,0,1
"KO:K00239",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K00240",1,1,2,2,1,2,1,1,1,1,1,1
"KO:K00241",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K00259",1,1,1,1,1,2,1,1,1,1,1,1
"KO:K00262",2,2,2,2,2,2,2,3,2,2,2,2
"KO:K00265",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00266",2,2,2,2,2,2,2,2,2,2,2,2
"KO:K00275",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00278",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00281",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00286",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00287",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00290",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00297",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00330",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00331",1,0,1,1,1,1,1,1,1,1,1,1
"KO:K00334",0,1,0,0,0,0,1,1,1,1,0,0
"KO:K00335",0,1,0,0,0,0,1,1,1,1,0,0
"KO:K00336",0,1,0,0,0,0,1,1,1,1,0,0
"KO:K00337",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00338",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00339",1,1,1,1,1,1,1,2,1,1,1,1
"KO:K00340",1,1,1,1,1,1,1,3,1,1,1,1
"KO:K00341",1,1,2,2,1,1,1,3,1,1,1,1
"KO:K00342",1,1,2,2,1,1,1,1,1,1,1,1
"KO:K00343",1,1,2,2,1,1,1,2,1,1,1,1
"KO:K00382",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00412",0,0,0,0,0,0,0,1,0,0,0,0
"KO:K00425",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00426",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00525",1,1,1,1,1,1,1,1,1,1,1,1
"KO:K00527",1,1,1,1,1,1,1,1,1,1,1,2
