,SampleID,scores
1,103,"-8.483999999999998, -8.483999999999998, -8.483999999999998"
2,133,"-9.437999999999999, -9.437999999999999, -9.437999999999999, -4.615"
3,151.6,"-5.9590000000000005, -8.483999999999998, -8.483999999999998"
4,170,"-9.437999999999999, -5.9590000000000005, -9.437999999999999, -5.559"
5,170.7,"-9.437999999999999, -0.2549999999999999, -5.9590000000000005"
6,172,"-7.614999999999999, -7.778999999999999, -9.437999999999999"
7,172.1,"-5.867999999999999, -5.867999999999999, -8.483999999999998, -0.544"
8,175,"-4.258000000000001, -8.494, -9.437999999999999, 1.2730000000000001"
9,181,"-8.483999999999998, -8.483999999999998, -9.437999999999999, -4.605"
10,185,"-0.9049999999999996, -5.9590000000000005, -5.298000000000001"
11,195.3,"-5.4879999999999995, -8.982, -9.437999999999999, -2.5629999999999997"
12,207,"2.359, -6.746, -7.322999999999999, 0.7000000000000004"
13,208,"-9.437999999999999, -9.437999999999999, -9.437999999999999, -5.559"
14,216,"-4.354000000000001, -0.9470000000000003, -5.298000000000001"
15,228,"-5.9590000000000005, -5.015000000000001, -5.9590000000000005"
16,229,"-8.483999999999998, -8.483999999999998, -1.728, -0.4649999999999999"
17,29,"-1.417, -8.494, -5.9590000000000005, -0.3319999999999999"
18,33,"-9.437999999999999, -9.437999999999999, -7.539999999999999"
19,380,"-6.746, 1.6960000000000002, -9.437999999999999, -1.9569999999999994, -0.3789999999999998"
20,384.6,"2.161, 3.188, -8.982"
21,386.3,"3.152, 1.955, 3.4690000000000003, -0.32699999999999996"
22,388,"-9.437999999999999, -9.437999999999999, -8.483999999999998"
23,393,"-8.494, -8.494, -5.9590000000000005, -5.015000000000001, -4.615"
24,43,"2.7840000000000003, -5.9590000000000005, -6.746"
25,45.1,"-9.437999999999999, -9.437999999999999, -7.539999999999999"
26,61,"-4.136, -2.0799999999999996, -5.9590000000000005"
27,63,"-9.437999999999999, -9.437999999999999, -9.437999999999999"
28,65,"-7.539999999999999, -9.437999999999999, -4.3"
29,86.2,"-5.298000000000001, -8.982, -9.437999999999999"
