"Pathway"	"Sample1"	"Sample2"	"Sample3"	"Sample4"	"Sample5"	"Sample6"	"Sample7"	"Sample8"	"Sample9"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample60"	"Sample61"	"Sample62"	"Sample63"	"Sample64"	"Sample65"	"Sample66"	"Sample67"	"Sample68"	"Sample69"	"Sample70"	"Sample71"	"Sample72"	"Sample73"	"Sample74"	"Sample75"	"Sample76"	"Sample77"	"Sample78"	"Sample79"	"Sample80"	"Sample81"	"Sample82"	"Sample83"	"Sample84"	"Sample85"	"Sample86"	"Sample87"	"Sample88"	"Sample89"	"Sample90"	"Sample91"	"Sample92"	"Sample93"	"Sample94"	"Sample95"	"Sample96"	"Sample97"	"Sample98"	"Sample99"	"Sample100"	"Sample101"	"Sample102"	"Sample103"	"Sample104"	"Sample105"	"Sample106"	"Sample107"	"Sample108"	"Sample109"	"Sample110"	"Sample111"	"Sample112"	"Sample113"	"Sample114"	"Sample115"	"Sample116"	"Sample117"	"Sample118"	"Sample119"	"Sample120"	"Sample121"	"Sample122"	"Sample123"	"Sample124"	"Sample125"	"Sample126"	"Sample127"
"ko00010"	3282.90036075036	1820.04285714286	3597.71406926407	3415.59292929293	2525.86832611833	1331.4746031746	3881.8613997114	2286.69621212121	2729.58095238095	3494.95443722944	2717.7955988456	2510.4588023088	2868.73044733045	2285.93124098124	1553.70165945166	3251.89383116883	3474.15692640693	2667.33463203463	2496.21219336219	4350.08668831169	3257.73131313131	4491.37597402597	2740.9104978355	3196.13333333333	3506.48012265512	2012.56612554113	3915.19628427128	5376.55692640693	3511.76338383838	2613.10007215007	3903.33629148629	1631.06645021645	3064.20562770563	3727.73629148629	4135.05782828283	3231.99502164502	2266.88910533911	2209.47041847042	3584.93181818182	1702.8329004329	3477.18221500721	2331.4955988456	2515.04502164502	1316.21428571429	2701.95126262626	2511.1869047619	1853.57601010101	3602.91735209235	2689.80303030303	2731.44047619048	3879.70097402597	3737.58015873016	3164.51616161616	5302.00068542569	4956.29411976912	3929.83095238095	3663.41129148629	2580.83333333333	2647.23578643579	2954.27626262626	2106.51666666667	3260.40663780664	3264.44054834055	3201.95515873016	4353.7597041847	3262.48629148629	3633.83311688312	2997.84502164502	2715.19841269841	2852.50613275613	3916.45483405483	2635.17864357864	2417.03629148629	3049.49145021645	3349.93463203463	2807.80840548341	2567.26031746032	2013.67258297258	1584.35353535354	4095.33232323232	3426.15602453102	2915.40501443001	3958.65036075036	3244.46464646465	2710.93766233766	2838.09411976912	1943.63968253968	3139.36940836941	3383.13849206349	3437.37943722944	4196.96911976912	2818.69350649351	2482.63816738817	3082.90205627706	2416.12121212121	2472.3880952381	3159.61832611833	3489.30505050505	2746.7354978355	3464.40425685426	3416.76587301587	3304.46832611833	2183.43538961039	3796.99202741703	3123.27784992785	4032.52745310245	3987.97092352092	2492.57925685426	4050.68044733045	3143.15256132756	2634.52438672439	1956.48073593074	3523.0233044733	1770.67655122655	2001.60436507936	1309.9880952381	2267.87698412698	2894.77655122655	2955.21197691198	3063.17518037518	2119.78755411255	1719.70425685426	3700.01832611833	2646.18041125541	3816.95364357864	3779.42961760462	2544.59054834055
"ko00020"	1306.98686868687	517.371428571429	1351.98787878788	1364.02070707071	1122.21594516595	605.795238095238	1376.39433621934	984.177164502164	1026.12619047619	1418.34213564214	1257.1702020202	1066.17308802309	1140.77766955267	1013.19671717172	698.67784992785	1190.79621212121	1131.50216450216	925.62987012987	1122.64076479076	1803.33192640693	1505.4332972583	1918.5854978355	1216.77478354978	1405.3	1641.97615440115	758.02803030303	1554.82803030303	2310.89145021645	1621.67886002886	1131.49451659452	1679.91645021645	682.530735930736	1535.82784992785	1603.00930735931	1832.05624098124	1301.10216450216	949.575613275613	998.583116883117	1413.79927849928	952.434487734488	1710.67665945166	906.079725829726	915.659307359307	807.830952380952	1082.09808802309	1085.50595238095	748.055375180375	1456.92766955267	960.420887445887	1222.575	1652.25097402597	1542.56388888889	1457.33362193362	2164.34433621934	2120.53856421356	1532.72103174603	1495.90692640693	1039.55357142857	1130.34332611833	1219.02070707071	886.933333333333	1448.586002886	1309.53499278499	1331.12142857143	1944.99621212121	1211.47359307359	1551.29502164502	1432.85692640693	1256.75238095238	1192.51168831169	1581.23499278499	1203.67308802309	1044.51645021645	1329.27478354978	1473.90844155844	1221.52427849928	1091.04761904762	886.360678210678	791.107106782107	1672.7604978355	1438.49808802309	1408.17326839827	1526.19639249639	1522.57258297258	1146.41782106782	1245.54808802309	1001.09523809524	1314.63448773449	1345.94246031746	1476.94927849928	1746.99213564214	1088.81255411255	950.959992784993	1248.05761183261	894.921212121212	1109.9630952381	1351.85642135642	1584.99790764791	1215.88311688312	1485.68838383838	1539.10238095238	1293.35165945166	996.890945165945	1660.67853535354	1505.46832611833	1862.61951659452	1601.83838383838	1086.45862193362	1763.76814574315	1382.89978354978	971.170021645022	738.121212121212	1300.33124098124	784.880916305916	891.348809523809	504.87619047619	994.242857142857	1258.29639249639	1199.4968975469	1378.15930735931	847.889935064935	597.559812409812	1581.52784992785	1180.3196969697	1542.32665945166	1538.46850649351	1143.66594516595
"ko00030"	2197.66940836941	1313.79285714286	2657.6474025974	2262.29292929293	1660.95324675325	1056.04920634921	2713.62806637807	1573.15573593074	1924.77619047619	2530.36475468975	1885.33607503608	1763.26991341991	2076.30901875902	1602.67965367965	1184.09848484848	2400.92478354978	2666.18073593074	1696.21558441558	1770.7367965368	2922.90335497835	2313.28845598846	3040.95454545455	1745.66764069264	2144.68333333333	2183.91583694084	1307.93755411255	2617.06453823954	3639.13073593074	2484.14036796537	1644.30007215007	2645.64184704185	1095.91645021645	2054.54213564214	2469.95851370851	2909.58878066378	2224.15454545455	1433.50577200577	1486.61248196248	2442.54927849928	1195.03924963925	2390.45126262626	1689.94321789322	1881.7354978355	830.621428571429	1891.8465007215	1747.32023809524	1440.64505772006	2552.66497113997	1893.00064935065	1936.17142857143	2666.12478354978	2549.81349206349	2000.29235209235	3473.86020923521	3369.55840548341	2784.65317460317	2682.09303751804	1868.96904761905	1924.4095959596	2100.7095959596	1587.56666666667	2165.08520923521	2129.99292929293	2256.28293650794	2888.21843434343	2184.69660894661	2419.68787878788	1929.08311688312	1826.0373015873	1960.63629148629	2557.5715007215	1793.5595959596	1614.65137085137	1982.35573593074	2428.85844155844	1896.25840548341	1740.59206349206	1510.55909090909	1222.76861471861	2718.9601010101	2386.04888167388	1913.94866522367	2673.00274170274	2125.6075036075	2000.69163059163	1787.66554834055	1202.87936507937	2082.3455988456	2321.66944444444	2314.90642135642	2939.69531024531	1985.53874458874	1696.13816738817	2284.20284992785	1853.38787878788	1753.47380952381	2044.45562770563	2338.76536796537	1841.02597402597	2305.79235209235	2312.46031746032	2338.24848484848	1505.92904040404	2537.35393217893	2185.95324675325	2641.03697691198	2817.09235209235	1678.87925685426	2745.5613997114	2201.72557720058	2031.94660894661	1385.92359307359	2565.99473304473	1290.44083694084	1339.2123015873	905.257142857143	1576.63492063492	1885.95274170274	2014.42864357864	2096.24105339105	1416.57326839827	1069.41616161616	2563.53896103896	1763.40183982684	2588.06078643579	2595.59549062049	1673.98102453102
"ko00040"	1131.54494949495	551.921428571429	1262.29588744589	1114.41565656566	892.952958152958	600.279365079365	1284.48921356421	891.583982683983	909.8	1297.16287878788	1088.78542568543	972.812481962482	1013.02135642136	827.879292929293	712.974386724387	1092.1696969697	1239.67207792208	644.738961038961	960.598340548341	1590.87445887446	1187.113997114	1586.91255411255	941.269696969697	1097.41666666667	1150.68304473304	743.4170995671	1330.10202020202	1922.03398268398	1323.84834054834	891.041847041847	1309.73715728716	511.429220779221	1112.37835497835	1301.51334776335	1398.09516594517	1330.90064935065	859.171572871573	836.95937950938	1289.52835497836	740.887012987013	1211.8227994228	885.744949494949	968.950649350649	431.816666666667	1056.95851370851	916.814285714286	755.28943001443	1279.32611832612	967.059956709957	1083.81904761905	1458.16731601732	1284.28968253968	786.388023088023	1774.29992784993	1650.99184704185	1395.90714285714	1396.19668109668	1022.45238095238	1059.85851370851	967.882323232323	768.466666666667	1200.07135642136	1118.04660894661	1057.92301587302	1426.87842712843	1064.45858585859	1150.12683982684	955.831601731602	950.938888888889	966.954617604618	1280.21327561328	1069.80137085137	900.087157287157	1093.53636363636	1358.33181818182	1004.47756132756	932.269841269841	837.274314574315	732.345743145743	1391.02604617605	1291.68232323232	911.258369408369	1339.21875901876	1052.58066378066	1098.47987012987	901.079942279942	683.392063492063	1027.74494949495	1097.90396825397	1220.11883116883	1395.10375180375	957.359956709957	680.438275613276	1130.6974025974	882.60303030303	887.471428571429	1042.37914862915	1343.98643578644	1037.59826839827	1181.89992784993	1358.21349206349	1106.77438672439	775.683116883117	1336.0259018759	1129.65533910534	1348.24422799423	1333.25468975469	916.768975468975	1521.16659451659	1102.87128427128	907.891919191919	658.772077922078	1198.85945165945	773.566378066378	642.524603174603	452.959523809524	772.481746031746	860.223520923521	967.32518037518	1021.6689033189	518.707575757576	518.785642135642	1329.11486291486	1013.81948051948	1399.02041847042	1335.99725829726	940.763275613276
"ko00051"	3205.51471861472	2182.66428571429	3559.19307359307	2957.68484848485	2422.60072150072	1152.42698412698	3926.95010822511	2202.89545454545	2749.17142857143	3055.72254689755	2288.07662337662	2065.1031024531	2761.2262987013	1832.19852092352	1276.84595959596	3218.82164502165	3853.9145021645	2629.57489177489	2041.20923520924	4119.84545454545	2512.63257575758	4091.21212121212	2278.07402597403	2638.35	2795.32186147186	2067.82077922078	3714.59617604618	4923.72997835498	2926.96280663781	2189.56818181818	3391.68672438672	1207.11688311688	2453.12135642136	3516.09862914863	3809.20606060606	2818.45021645022	1737.49502164502	1991.33513708514	3606.15468975469	1212.79725829726	2874.47056277056	2295.93138528139	2622.38831168831	810.142857142857	2608.96818181818	2276.29285714286	1693.52121212121	3601.2632034632	2947.56958874459	2206.22976190476	3288.09545454545	3345.07023809524	2768.52272727273	4784.78939393939	4559.15627705628	3689.43531746032	3505.56410533911	2421.825	2620.36937229437	2441.10151515152	1813.38333333333	2663.38463203463	2609.81818181818	3130.84087301587	3676.03751803752	3027.22005772006	3216.19783549784	2392.85735930736	2410.25317460317	2605.6018037518	3510.54437229437	2266.14199134199	2063.68196248196	2423.54545454545	2898.1367965368	2254.97056277056	2166.26031746032	1703.77741702742	1407.55241702742	3682.68870851371	3248.01341991342	2371.86919191919	3711.75757575758	2750.87662337662	2554.73297258297	2281.68484848485	1613.8253968254	2876.99805194805	3053.63095238095	3131.04754689755	3905.94437229437	2916.68744588745	2711.46937229437	3194.25230880231	1909.67878787879	2407.6630952381	2876.96500721501	3085.26875901876	2322.28593073593	2987.14653679654	2778.06825396825	3247.81262626263	1787.5904040404	3277.90281385281	2887.88405483405	3412.35865800866	3568.56796536797	2229.28939393939	3807.01201298701	3051.39823232323	2913.72362914863	2035.45974025974	3593.55844155844	1672.90162337662	1550.34603174603	1277.11904761905	2075.44126984127	2271.98376623377	2585.49675324675	2831.13513708514	2187.56125541126	1490.67987012987	3459.91024531025	2197.66244588745	3507.05627705628	3546.34855699856	2522.17770562771
"ko00052"	2837.41255411255	1259.32142857143	2792.76103896104	2712.14393939394	1880.22489177489	1012.99523809524	2862.01147186147	1699.84794372294	1917.83571428571	2892.00703463203	2339.29350649351	2152.42965367965	2078.06147186147	1845.34718614719	1133.98917748918	2358.45032467532	2524.58008658009	1849.99408369408	2030.420995671	3230.96222943723	2434.7323953824	3357.31341991342	2205.51937229437	2572.08333333333	2743.20183982684	1436.8275974026	2953.23791486291	4163.75627705628	2830.87139249639	2004.44393939394	2942.08246753247	1212.78326118326	2319.3367965368	2766.80627705628	3087.58170995671	2550.38961038961	1677.50086580087	1731.4538961039	2892.01774891775	1486.09826839827	2511.21655844156	1817.72683982684	1848.1038961039	1074.35476190476	2165.99751082251	1984.88928571429	1359.37586580087	2749.8079004329	1945.38354978355	2149.5	3005.79794372294	2817.85555555556	1935.36861471861	3992.62218614719	3686.0117965368	3047.74047619048	2765.25508658009	1896.40714285714	1984.84155844156	2173.72727272727	1526.98333333333	2719.020995671	2685.66774891775	2377.15119047619	3222.87651515151	2615.68008658009	2746.91500721501	2077.44437229437	2028.13571428571	2261.87532467532	2900.20822510823	2089.08441558442	1851.89437229437	2422.88841991342	2719.94567099567	2102.29195526696	2027.58571428571	1659.4689033189	1379.75303030303	2998.91103896104	2545.74751082251	2102.7775974026	2997.40461760462	2347.31255411255	2253.01731601732	2300.40465367965	1436.90952380952	2382.08715728716	2552.6996031746	2587.2987012987	2944.14393939394	1945.11688311688	1746.17489177489	2503.03560606061	1814.81818181818	1724.35714285714	2401.41774891775	2867.40432900433	2291.00865800866	2450.26623376623	2823.45238095238	2580.11774891775	1785.34989177489	3029.26136363636	2372.11536796537	2974.58322510823	3007.93528138528	2040.895995671	3361.47813852814	2243.44318181818	1850.54675324675	1379.83246753247	2595.39242424242	1407.09826839827	1422.2630952381	1054.98571428571	1789.25238095238	2211.87683982684	2274.17012987013	2343.07056277056	1432.64426406926	1145.65670995671	3008.20346320346	2206.47045454545	3028.90703463203	2967.15378787879	2042.34393939394
"ko00053"	358.020202020202	392.635714285714	440.625974025974	355.687373737374	219.708008658009	180.769841269841	518.031240981241	319.308116883117	371.202380952381	428.360786435786	318.805916305916	302.041341991342	415.661002886003	214.918939393939	172.050865800866	436.529545454545	619.121212121212	396.801298701299	283.686796536797	561.667640692641	370.626154401154	549.597402597403	241.220021645022	255.383333333333	328.645202020202	210.913744588745	490.022474747475	584.003354978355	407.751082251082	253.949278499278	476.893434343434	156.421212121212	330.816738816739	447.612481962482	564.625288600289	309.997402597403	169.716089466089	227.129942279942	442.840548340548	210.921789321789	374.548088023088	242.929725829726	361.554545454545	139.87619047619	304.20284992785	313.665476190476	311.361327561328	518.896717171717	407.25183982684	334.575	421.06525974026	516.740079365079	375.224098124098	513.099098124098	564.909992784993	410.348015873016	494.036291486291	416.227380952381	457.717135642136	299.137373737374	277.55	273.112193362193	272.761183261183	457.287301587302	518.809704184704	340.064862914863	484.625974025974	244.242640692641	294.579365079365	345.018037518038	419.52784992785	291.315945165945	276.717243867244	263.510497835498	415.927489177489	301.493326118326	211.779365079365	250.744805194805	238.515043290043	495.397799422799	444.500468975469	286.957395382395	501.001154401154	333.01544011544	356.84797979798	250.92904040404	141.992063492063	357.248773448773	436.780555555556	411.207215007215	572.530230880231	491.769696969697	396.894516594517	469.372691197691	249.087878787879	268.720238095238	367.824675324675	328.786796536797	238.452164502164	347.590764790765	345.620634920635	429.522294372294	213.682215007215	431.688059163059	380.424675324675	407.640945165945	476.816955266955	269.837193362193	452.45386002886	482.546608946609	432.016053391053	351.092640692641	461.912193362193	315.252344877345	193.156746031746	138.771428571429	236.493650793651	295.313059163059	295.275468975469	296.379942279942	297.568506493507	230.921717171717	457.096103896104	248.45303030303	483.833802308802	453.198665223665	281.223088023088
"ko00061"	1150.50396825397	559.457142857143	1326.06666666667	1230.23888888889	989.651587301587	480.015873015873	1308.75634920635	857.360714285714	1046.85476190476	1306.50595238095	1022.54444444444	949.339682539682	1026.56587301587	878.576984126984	638.706349206349	1123.61547619048	1095.5119047619	819.009523809524	999.693650793651	1557.51785714286	1248.51587301587	1668	1043.125	1221.53333333333	1369.58611111111	720.334523809524	1429.72579365079	2203.99285714286	1473.6496031746	1048.57698412698	1389.86587301587	561.035714285714	1180.28571428571	1485.56825396825	1461.77896825397	1248.3880952381	888.573015873016	862.022222222222	1308.78571428571	710.752380952381	1343.02103174603	820.811111111111	848.885714285714	609.447619047619	1002.86626984127	981.346428571429	656.226587301587	1282.44325396825	876.561904761905	998.042857142857	1489.20357142857	1237.42222222222	1015.13968253968	1859.85753968254	1781.96626984127	1390.11904761905	1288.82658730159	842.897619047619	896.996031746032	1184.95555555556	807.533333333333	1275.16349206349	1173.48650793651	1176.21150793651	1662.26388888889	1173.26111111111	1289.93571428571	1130.59523809524	1050.9373015873	1009.15317460317	1494.39365079365	1015.39126984127	943.906349206349	1150.72261904762	1218.09285714286	1111.74007936508	957.987301587302	788.734126984127	619.119841269841	1483.61984126984	1307.68531746032	1019.67896825397	1400.89206349206	1161.27301587302	986.535714285714	1127.93293650794	899.54126984127	1191.95158730159	1232.86626984127	1360.9	1437.25317460317	903.083333333333	745.926984126984	1084.63928571429	815.8	958.030952380952	1117.77777777778	1374.85555555556	1108.82142857143	1248.2373015873	1310.55079365079	1261.8253968254	789.670238095238	1476.74325396825	1218.4753968254	1530.45912698413	1364.08253968254	1031.65277777778	1512.55396825397	1132.27341269841	903.570634920635	657.752380952381	1237.95158730159	638.492063492063	769.888492063492	502.27380952381	860.484920634921	1167.99444444444	1250.45317460317	1122.54126984127	726.322619047619	524.925396825397	1399.13968253968	994.239285714286	1352.52341269841	1387.62103174603	1008.7246031746
"ko00071"	287.777994227994	175.728571428571	407.887012987013	397.631313131313	283.617821067821	189.949206349206	430.318903318903	308.985822510823	336.928571428571	401.595995670996	307.699422799423	272.567821067821	377.793903318903	253.985966810967	257.794011544012	378.192965367965	361.248917748918	332.162842712843	319.527633477633	575.790584415584	484.530772005772	553.241774891775	300.592965367965	356.633333333333	428.045851370851	297.002056277056	495.654437229437	678.073917748918	457.606998556999	349.04797979798	462.048124098124	179.010028860029	359.428138528139	499.21240981241	506.681998556999	429.537012987013	369.486002886003	248.044949494949	378.75670995671	230.221645021645	403.192027417027	243.049422799423	283.406060606061	314.216666666667	264.208694083694	316.977380952381	246.395526695527	396.379617604618	315.128246753247	369.760714285714	497.652489177489	444.541666666667	424.692712842713	606.420093795094	610.896789321789	416.134523809524	454.502886002886	316.994047619048	335.858694083694	340.614646464646	298.95	392.090331890332	345.655122655123	384.653174603175	538.584235209235	367.552886002886	478.602092352092	373.577489177489	331.201587301587	332.77113997114	435.983694083694	340.595598845599	304.695743145743	389.369155844156	424.504112554113	411.533297258297	295.349206349206	241.506565656566	183.24981962482	580.253282828283	512.565836940837	363.07031024531	481.65974025974	407.066089466089	283.831168831169	365.187265512266	250.865079365079	419.360533910534	395.55119047619	448.394805194805	580.87417027417	382.58658008658	302.283694083694	304.676948051948	257.139393939394	330.546428571429	373.436868686869	417.108585858586	331.725108225108	508.859379509379	450.786507936508	429.694011544012	242.78170995671	469.788708513709	380.327344877345	488.865836940837	440.818903318903	286.455808080808	408.412950937951	393.868759018759	306.420743145743	225.52987012987	402.716522366522	244.01727994228	284.436111111111	157.678571428571	277.456349206349	351.087518037518	383.421789321789	348.09733044733	237.542532467532	236.830808080808	412.13924963925	331.627056277056	453.370598845599	440.309992784993	318.021789321789
"ko00072"	51.6020202020202	64.1	95.0454545454545	66.8237373737374	72.495165945166	39.4761904761905	114.681457431457	100.301406926407	87.7023809523809	87.4582611832612	60.5996392496392	56.1070707070707	108.233838383838	75.1671717171717	93.0165945165945	103.220454545455	118.985930735931	60.6772727272727	46.2005050505051	153.615692640693	104.190115440115	123.462121212121	41.3275974025974	82.6333333333333	59.4222582972583	86.1695887445888	139.12196969697	172.790692640693	101.115981240981	88.4070707070707	103.178787878788	37.9835497835498	70.340404040404	128.978787878788	113.518362193362	122.278787878788	81.5156565656566	60.1287878787879	89.8070707070707	45.0353535353535	87.6725468975469	77.3424963924964	95.4787878787879	114.983333333333	73.8344516594517	74.4583333333333	82.4811327561328	101.299314574315	104.744588744589	89.7833333333333	97.4871212121212	93.1484126984127	105.51240981241	130.251695526696	146.782070707071	120.955555555556	125.699025974026	50.3357142857143	82.0665945165945	102.523737373737	83.8333333333333	90.7171717171717	68.190404040404	103.344047619048	116.903787878788	70.9168831168831	89.5287878787879	83.8168831168831	63.2285714285714	76.6954545454546	99.090404040404	87.2023088023088	58.5121212121212	72.8442640692641	102.215367965368	86.4487373737374	78.4	52.0353535353535	29.4520202020202	162.08354978355	140.034451659452	58.6219696969697	112.106782106782	82.2353535353535	69.8329725829726	48.1582611832612	31.8571428571429	92.2472582972583	88.0543650793651	106.338023088023	175.057070707071	114.077922077922	78.2237373737374	60.6415945165945	59.7787878787879	105.85	99.9570707070707	81.7052669552669	67.1287878787879	155.281457431457	95.85	120.190404040404	47.5320707070707	80.1627344877345	74.7975468975469	101.865404040404	97.7052669552669	54.0993145743146	88.3171717171717	118.563311688312	102.00974025974	57.3906926406926	120.714790764791	59.663924963925	62.4345238095238	32.8	62.6666666666667	45.8472582972583	94.1570707070707	81.5287878787879	63.9791125541126	50.1862193362193	100.745165945166	76.2886363636364	116.117784992785	90.3791125541126	58.4689754689755
