"","ESV_study$Name"
"KO:K00005","glycerol dehydrogenase [EC:1.1.1.6] (gldA)"
"KO:K00012","UDPglucose 6-dehydrogenase [EC:1.1.1.22] (UGDH, ugd)"
"KO:K00014","shikimate dehydrogenase [EC:1.1.1.25] (aroE)"
"KO:K00016","L-lactate dehydrogenase [EC:1.1.1.27] (LDH, ldh)"
"KO:K00030","isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] (IDH3)"
"KO:K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] (PGD, gnd, gntZ)"
"KO:K00040","fructuronate reductase [EC:1.1.1.57] (uxuB)"
"KO:K00058","D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95] (serA, PHGDH)"
"KO:K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100] (fabG)"
"KO:K00067","dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133] (rfbD, rmlD)"
"KO:K00074","3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157] (paaH, hbd, fadB, mmgB)"
"KO:K00075","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98] (murB)"
"KO:K00087","xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4] (ygeS, xdhA)"
"KO:K00088","IMP dehydrogenase [EC:1.1.1.205] (guaB)"
"KO:K00100","E1.1.1.-"
"KO:K00104","glycolate oxidase [EC:1.1.3.15] (glcD)"
"KO:K00123","formate dehydrogenase major subunit [EC:1.2.1.2] (fdoG, fdfH)"
"KO:K00128","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] (E1.2.1.3)"
"KO:K00132","acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10] (E1.2.1.10)"
"KO:K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12] (GAPDH, gapA)"
"KO:K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41] (proA)"
"KO:K00248","butyryl-CoA dehydrogenase [EC:1.3.8.1] (ACADS, bcd)"
"KO:K00259","alanine dehydrogenase [EC:1.4.1.1] (ald)"
"KO:K00260","glutamate dehydrogenase [EC:1.4.1.2] (gudB, rocG)"
"KO:K00266","glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14] (gltD)"
"KO:K00286","pyrroline-5-carboxylate reductase [EC:1.5.1.2] (proC)"
"KO:K00287","dihydrofolate reductase [EC:1.5.1.3] (folA)"
"KO:K00334","NADH-quinone oxidoreductase subunit E [EC:1.6.5.3] (nuoE)"
"KO:K00335","NADH-quinone oxidoreductase subunit F [EC:1.6.5.3] (nuoF)"
"KO:K00336","NADH-quinone oxidoreductase subunit G [EC:1.6.5.3] (nuoG)"
"KO:K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1] (E1.17.4.1A, nrdA, nrdE)"
"KO:K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1] (E1.17.4.1B, nrdB, nrdF)"
"KO:K00527","ribonucleoside-triphosphate reductase [EC:1.17.4.2] (nrdD)"
"KO:K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37] (DNMT1, dcm)"
"KO:K00560","thymidylate synthase [EC:2.1.1.45] (thyA, TYMS)"
"KO:K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] (purH)"
"KO:K00609","aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2] (pyrB, PYR2)"
"KO:K00610","aspartate carbamoyltransferase regulatory subunit (pyrI)"
"KO:K00611","ornithine carbamoyltransferase [EC:2.1.3.3] (OTC, argF, argI)"
"KO:K00615","transketolase [EC:2.2.1.1] (E2.2.1.1, tktA, tktB)"
"KO:K00616","transaldolase [EC:2.2.1.2] (E2.2.1.2, talA, talB)"
"KO:K00625","phosphate acetyltransferase [EC:2.3.1.8] (E2.3.1.8, pta)"
"KO:K00626","acetyl-CoA C-acetyltransferase [EC:2.3.1.9] (E2.3.1.9, atoB)"
"KO:K00640","serine O-acetyltransferase [EC:2.3.1.30] (cysE)"
"KO:K00655","1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] (plsC)"
"KO:K00656","formate C-acetyltransferase [EC:2.3.1.54] (E2.3.1.54, pflD)"
"KO:K00657","diamine N-acetyltransferase [EC:2.3.1.57] (speG)"
"KO:K00688","starch phosphorylase [EC:2.4.1.1] (E2.4.1.1, glgP, PYG)"
"KO:K00700","1,4-alpha-glucan branching enzyme [EC:2.4.1.18] (glgB)"
"KO:K00703","starch synthase [EC:2.4.1.21] (E2.4.1.21, glgA)"
"KO:K00705","4-alpha-glucanotransferase [EC:2.4.1.25] (malQ)"
"KO:K00756","pyrimidine-nucleoside phosphorylase [EC:2.4.2.2] (E2.4.2.2, pdp)"
"KO:K00759","adenine phosphoribosyltransferase [EC:2.4.2.7] (APRT, apt)"
"KO:K00760","hypoxanthine phosphoribosyltransferase [EC:2.4.2.8] (hprT, hpt, HPRT1)"
"KO:K00761","uracil phosphoribosyltransferase [EC:2.4.2.9] (upp, UPRT)"
"KO:K00762","orotate phosphoribosyltransferase [EC:2.4.2.10] (pyrE)"
"KO:K00763","nicotinate phosphoribosyltransferase [EC:6.3.4.21] (pncB, NAPRT1)"
"KO:K00764","amidophosphoribosyltransferase [EC:2.4.2.14] (purF, PPAT)"
"KO:K00788","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3] (thiE)"
"KO:K00789","S-adenosylmethionine synthetase [EC:2.5.1.6] (metK)"
"KO:K00790","UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7] (murA)"
"KO:K00791","tRNA dimethylallyltransferase [EC:2.5.1.75] (miaA, TRIT1)"
"KO:K00793","riboflavin synthase [EC:2.5.1.9] (ribE, RIB5)"
"KO:K00794","6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78] (ribH, RIB4)"
"KO:K00800","3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19] (aroA)"
"KO:K00820","glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16] (glmS, GFPT)"
"KO:K00832","aromatic-amino-acid transaminase [EC:2.6.1.57] (tyrB)"
"KO:K00845","glucokinase [EC:2.7.1.2] (glk)"
"KO:K00847","fructokinase [EC:2.7.1.4] (E2.7.1.4, scrK)"
"KO:K00850","6-phosphofructokinase 1 [EC:2.7.1.11] (pfkA, PFK)"
"KO:K00854","xylulokinase [EC:2.7.1.17] (xylB, XYLB)"
"KO:K00857","thymidine kinase [EC:2.7.1.21] (tdk, TK)"
"KO:K00858","NAD+ kinase [EC:2.7.1.23] (ppnK, NADK)"
"KO:K00859","dephospho-CoA kinase [EC:2.7.1.24] (coaE)"
"KO:K00864","glycerol kinase [EC:2.7.1.30] (glpK, GK)"
