Function ID,Name,Ana sen JC8 2547132134
KO:K00001,"alcohol dehydrogenase [EC:1.1.1.1] (E1.1.1.1, adh)",0
KO:K00002,"alcohol dehydrogenase (NADP+) [EC:1.1.1.2] (AKR1A1, adh)",0
KO:K00003,homoserine dehydrogenase [EC:1.1.1.3] (E1.1.1.3),0
KO:K00005,glycerol dehydrogenase [EC:1.1.1.6] (gldA),1
KO:K00007,D-arabinitol 4-dehydrogenase [EC:1.1.1.11] (dalD),0
KO:K00008,"L-iditol 2-dehydrogenase [EC:1.1.1.14] (SORD, gutB)",0
KO:K00010,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369] (iolG),0
KO:K00011,"aldehyde reductase [EC:1.1.1.21] (E1.1.1.21, AKR1)",0
KO:K00012,"UDPglucose 6-dehydrogenase [EC:1.1.1.22] (UGDH, ugd)",1
KO:K00013,histidinol dehydrogenase [EC:1.1.1.23] (hisD),0
KO:K00014,shikimate dehydrogenase [EC:1.1.1.25] (aroE),2
KO:K00015,glyoxylate reductase [EC:1.1.1.26] (gyaR),0
KO:K00016,"L-lactate dehydrogenase [EC:1.1.1.27] (LDH, ldh)",2
KO:K00018,glycerate dehydrogenase [EC:1.1.1.29] (hprA),0
KO:K00019,"3-hydroxybutyrate dehydrogenase [EC:1.1.1.30] (E1.1.1.30, bdh)",0
KO:K00020,"3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] (mmsB, HIBADH)",0
KO:K00021,hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34] (HMGCR),0
KO:K00022,3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] (HADH),0
KO:K00024,malate dehydrogenase [EC:1.1.1.37] (mdh),0
KO:K00025,malate dehydrogenase [EC:1.1.1.37] (MDH1),0
KO:K00026,malate dehydrogenase [EC:1.1.1.37] (MDH2),0
KO:K00028,malate dehydrogenase (decarboxylating) [EC:1.1.1.39] (E1.1.1.39),0
KO:K00029,"malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (E1.1.1.40, maeB)",0
KO:K00030,isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] (IDH3),0
KO:K00031,"isocitrate dehydrogenase [EC:1.1.1.42] (IDH1, IDH2, icd)",0
KO:K00032,phosphogluconate 2-dehydrogenase [EC:1.1.1.43] (E1.1.1.43),0
KO:K00033,"6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] (PGD, gnd, gntZ)",0
KO:K00035,D-galactose 1-dehydrogenase [EC:1.1.1.48] (gal),0
KO:K00036,"glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] (G6PD, zwf)",0
KO:K00037,3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50] (E1.1.1.50),0
KO:K00038,3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53] (E1.1.1.53),0
KO:K00039,ribitol 2-dehydrogenase [EC:1.1.1.56] (rbtD),0
KO:K00040,fructuronate reductase [EC:1.1.1.57] (uxuB),1
KO:K00041,tagaturonate reductase [EC:1.1.1.58] (uxaB),0
KO:K00042,"2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60] (garR, glxR)",0
KO:K00043,4-hydroxybutyrate dehydrogenase [EC:1.1.1.61] (gbd),0
KO:K00044,17beta-estradiol 17-dehydrogenase [EC:1.1.1.62] (HSD17B1),0
KO:K00049,glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81] (GRHPR),0
KO:K00050,hydroxypyruvate reductase [EC:1.1.1.81] (ttuD),0
KO:K00051,malate dehydrogenase (NADP+) [EC:1.1.1.82] (E1.1.1.82),0
KO:K00052,3-isopropylmalate dehydrogenase [EC:1.1.1.85] (leuB),0
KO:K00053,ketol-acid reductoisomerase [EC:1.1.1.86] (ilvC),0
